address,price,floor,area,year_built,rooms,elevator,parking,warehouse,district_code,price_per_sqm,building_age,area_level,area_bin,area_x_rooms,elevator_high_floor,area_bin_encoded,area_level_encoded,area_level_num,area_bin_num
شهر‌زیبا,2360000000.0,5,75,1397,2,1,1,1,154,31466666.67,7,Low,50-100,150,1,3,0,1,2
گلاب دره,17000000000.0,8,115,1403,3,1,1,1,231,147826087.0,1,Medium,100-150,345,1,0,2,2,3
شهران جنوبی,9800000000.0,3,95,1385,2,1,1,1,136,103157894.7,19,Medium,50-100,190,0,3,2,2,2
جنت‌آباد جنوبی,6600000000.0,2,58,1382,1,0,1,1,55,113793103.4,22,Medium,50-100,58,0,3,2,2,2
قیطریه,37500000000.0,2,150,1403,3,1,1,1,177,250000000.0,1,Luxury,100-150,450,0,0,1,3,3
سنایی,32000000000.0,5,190,1402,3,1,1,1,119,168421052.6,2,Luxury,150-200,570,1,1,1,3,4
نیاوران,14300000000.0,4,53,1398,1,1,1,1,200,269811320.8,6,Luxury,50-100,53,1,3,1,3,2
شادمهر,6500000000.0,3,78,1380,2,0,1,1,125,83333333.33,24,Medium,50-100,156,0,3,2,2,2
دریاچه شهدای خلیج فارس,1100000000.0,14,73,1403,1,1,1,1,93,15068493.15,1,Low,50-100,73,1,3,0,1,2
شهرک پاسداران,1800000000.0,1,58,1395,1,0,1,1,150,31034482.76,9,Low,50-100,58,0,3,0,1,2
پونک,12850000000.0,4,95,1398,2,1,1,1,217,135263157.9,6,Medium,50-100,190,1,3,2,2,2
یوسف‌آباد,36000000000.0,6,164,1402,3,1,1,1,236,219512195.1,2,Luxury,150-200,492,1,1,1,3,4
نارمک جنوبی,495000000.0,5,115,1403,2,1,1,1,196,4304347.826,1,Low,100-150,230,1,0,0,1,3
سعادت‌آباد,52500000000.0,6,150,1403,3,1,1,1,114,350000000.0,1,Luxury,100-150,450,1,0,1,3,3
سهروردی,22200000000.0,6,148,1403,3,1,1,1,120,150000000.0,1,Luxury,100-150,444,1,0,1,3,3
جی,3450000000.0,4,52,1392,1,1,1,1,60,66346153.85,12,Medium,50-100,52,1,3,2,2,2
دریاچه شهدای خلیج فارس,9500000000.0,19,128,1402,2,1,1,1,93,74218750.0,2,Medium,100-150,256,1,0,2,2,3
استاد معین,3850000000.0,3,54,1394,1,1,1,1,14,71296296.3,10,Medium,50-100,54,0,3,2,2,2
جنت‌آباد مرکزی,12900000000.0,4,113,1388,3,1,1,1,57,114159292.0,16,Medium,100-150,339,1,0,2,2,3
چیتگر,6000000000.0,4,95,1402,2,1,1,1,220,63157894.74,2,Medium,50-100,190,1,3,2,2,2
فاطمی,20250000000.0,2,135,1403,2,1,1,1,169,150000000.0,1,Luxury,100-150,270,0,0,1,3,3
سعادت‌آباد,80000000000.0,5,225,1403,3,1,1,1,114,355555555.6,1,Luxury,200+,675,1,2,1,3,5
باغ فیض,12850000000.0,4,95,1398,2,1,1,1,35,135263157.9,6,Medium,50-100,190,1,3,2,2,2
وردآورد,1570000000.0,2,49,1399,1,1,1,1,209,32040816.33,5,Low,<50,49,0,4,0,1,1
فرمانیه,33000000000.0,5,160,1388,3,1,1,1,172,206250000.0,16,Luxury,150-200,480,1,1,1,3,4
اکباتان,16500000000.0,7,171,1371,3,1,1,1,29,96491228.07,33,Medium,150-200,513,1,1,2,2,4
شهر‌زیبا,1480000000.0,2,45,1401,1,1,1,1,154,32888888.89,3,Low,<50,45,0,4,0,1,1
وردآورد,2700000000.0,5,48,1398,1,1,1,1,209,56250000.0,6,Low,<50,48,1,4,0,1,1
سرو آزاد,11000000000.0,2,116,1400,2,1,1,1,113,94827586.21,4,Medium,100-150,232,0,0,2,2,3
حسین‌آباد,33200000000.0,5,163,1402,3,1,1,1,62,203680981.6,2,Luxury,150-200,489,1,1,1,3,4
یوسف‌آباد,19700000000.0,6,120,1403,3,1,1,1,236,164166666.7,1,Luxury,100-150,360,1,0,1,3,3
مبارک‌آباد بهشتی,2100000000.0,2,70,1397,2,1,1,1,180,30000000.0,7,Low,50-100,140,0,3,0,1,2
شهر‌زیبا,1350000008.0,2,55,1396,1,1,1,1,154,24545454.69,8,Low,50-100,55,0,3,0,1,2
جیحون,2450000000.0,2,35,1380,1,0,1,1,61,70000000.0,24,Medium,<50,35,0,4,2,2,1
کوی فردوس,12450000000.0,3,83,1403,2,1,1,1,229,150000000.0,1,Luxury,50-100,166,0,3,1,3,2
نواب,3150000000.0,1,48,1383,1,0,1,1,199,65625000.0,21,Medium,<50,48,0,4,2,2,1
فلاح,3400000000.0,4,62,1403,1,1,1,0,173,54838709.68,1,Low,50-100,62,1,3,0,1,2
پونک,9900000000.0,3,70,1385,2,1,1,1,217,141428571.4,19,Medium,50-100,140,0,3,2,2,2
