address,price,floor,area,year_built,rooms,elevator,parking,warehouse,district_code,price_per_sqm,building_age,area_level,area_bin,area_x_rooms,elevator_high_floor,area_bin_encoded,area_level_encoded,area_level_num,area_bin_num
استاد معین,5200000000.0,2,75,1383,2,0,1,1,14,69333333.33,21,Medium,50-100,150,0,3,2,2,2
گیشا (کوی نصر),18700000000.0,4,115,1403,3,1,1,1,234,162608695.7,1,Luxury,100-150,345,1,0,1,3,3
جنت‌آباد جنوبی,24000000000.0,4,133,1402,3,1,1,1,55,180451127.8,2,Luxury,100-150,399,1,0,1,3,3
سوهانک,16900000000.0,3,143,1390,2,1,1,1,121,118181818.2,14,Medium,100-150,286,0,0,2,2,3
بریانک,1690000000.0,0,40,1377,1,0,1,1,36,42250000.0,27,Low,<50,40,0,4,0,1,1
آذربایجان,3500000000.0,1,60,1383,1,0,1,1,3,58333333.33,21,Low,50-100,60,0,3,0,1,2
اسکندری,3330000000.0,7,47,1389,1,1,1,1,16,70851063.83,15,Medium,<50,47,1,4,2,2,1
طرشت,12870000000.0,4,110,1403,2,1,1,1,164,117000000.0,1,Medium,100-150,220,1,0,2,2,3
شهر‌زیبا,2600000000.0,1,60,1390,2,0,1,1,154,43333333.33,14,Low,50-100,120,0,3,0,1,2
نیاوران,20700000000.0,3,135,1397,3,1,1,1,200,153333333.3,7,Luxury,100-150,405,0,0,1,3,3
گیشا (کوی نصر),16500000000.0,3,95,1395,2,1,1,1,234,173684210.5,9,Luxury,50-100,190,0,3,1,3,2
سعادت‌آباد,80500000000.0,3,230,1402,3,1,1,1,114,350000000.0,2,Luxury,200+,690,0,2,1,3,5
گیشا (کوی نصر),35700000000.0,1,170,1402,3,1,1,1,234,210000000.0,2,Luxury,150-200,510,0,1,1,3,4
تهرانپارس غربی,9500000000.0,4,100,1384,2,1,1,1,46,95000000.0,20,Medium,50-100,200,1,3,2,2,2
گیشا (کوی نصر),25900000000.0,4,150,1397,3,1,1,1,234,172666666.7,7,Luxury,100-150,450,1,0,1,3,3
اکباتان,9500000000.0,0,62,1371,1,1,1,0,29,153225806.5,33,Luxury,50-100,62,0,3,1,3,2
آذربایجان,4350000000.0,3,75,1383,1,0,1,1,3,58000000.0,21,Low,50-100,75,0,3,0,1,2
سعادت‌آباد,49500000000.0,3,150,1399,3,1,1,1,114,330000000.0,5,Luxury,100-150,450,0,0,1,3,3
سازمان آب,10500000000.0,3,105,1395,2,1,1,1,108,100000000.0,9,Medium,100-150,210,0,0,2,2,3
سعادت‌آباد,88350000000.0,7,285,1402,4,1,1,1,114,310000000.0,2,Luxury,200+,1140,1,2,1,3,5
جیحون,2400000000.0,2,48,1379,1,0,1,0,61,50000000.0,25,Low,<50,48,0,4,0,1,1
دریاچه شهدای خلیج فارس,633500000.0,17,123,1403,3,1,1,1,93,5150406.504,1,Low,100-150,369,1,0,0,1,3
سلسبیل,3950000000.0,2,68,1378,2,0,1,1,117,58088235.29,26,Low,50-100,136,0,3,0,1,2
سعادت‌آباد,23100000000.0,5,136,1388,3,1,1,1,114,169852941.2,16,Luxury,100-150,408,1,0,1,3,3
آذربایجان,6000000000.0,1,56,1395,1,1,1,1,3,107142857.1,9,Medium,50-100,56,0,3,2,2,2
میرداماد,82000000000.0,2,302,1403,4,1,1,1,192,271523178.8,1,Luxury,200+,1208,0,2,1,3,5
تهرانپارس غربی,8500000000.0,5,81,1388,2,1,1,1,46,104938271.6,16,Medium,50-100,162,1,3,2,2,2
ارم,14300000000.0,4,135,1390,3,1,1,1,12,105925925.9,14,Medium,100-150,405,1,0,2,2,3
بریانک,2400000000.0,2,39,1384,1,0,1,1,36,61538461.54,20,Low,<50,39,0,4,0,1,1
سلامت,5500000000.0,2,49,1378,1,0,1,0,116,112244898.0,26,Medium,<50,49,0,4,2,2,1
دریاچه شهدای خلیج فارس,9200000000.0,5,102,1393,2,1,1,1,93,90196078.43,11,Medium,100-150,204,1,0,2,2,3
شهر‌زیبا,4500000000.0,2,80,1397,2,0,1,1,154,56250000.0,7,Low,50-100,160,0,3,0,1,2
شریف,5800000000.0,4,70,1403,1,1,1,1,131,82857142.86,1,Medium,50-100,70,1,3,2,2,2
شهرک ژاندارمری,32000000000.0,1,1853,1396,3,1,1,1,152,17269293.04,8,Low,200+,5559,0,2,0,1,5
کوی فردوس,18300000000.0,4,190,1385,4,1,1,1,229,96315789.47,19,Medium,150-200,760,1,1,2,2,4
سلیمانی,2320000000.0,2,48,1386,1,0,1,1,118,48333333.33,18,Low,<50,48,0,4,0,1,1
جمهوری,3580000000.0,2,55,1380,1,0,1,1,54,65090909.09,24,Medium,50-100,55,0,3,2,2,2
گیشا (کوی نصر),12900000000.0,3,90,1380,2,1,1,1,234,143333333.3,24,Medium,50-100,180,0,3,2,2,2
قیطریه,29000000000.0,2,165,1385,3,1,1,1,177,175757575.8,19,Luxury,150-200,495,0,1,1,3,4
زنجان,4200000000.0,0,60,1386,1,0,1,0,105,70000000.0,18,Medium,50-100,60,0,3,2,2,2
گیشا (کوی نصر),15500000000.0,3,100,1392,2,1,1,1,234,155000000.0,12,Luxury,50-100,200,0,3,1,3,2
مبارک‌آباد بهشتی,2112000000.0,3,66,1398,1,1,1,1,180,32000000.0,6,Low,50-100,66,0,3,0,1,2
باغ خزانه,2800000000.0,2,35,1403,1,1,1,1,34,80000000.0,1,Medium,<50,35,0,4,2,2,1
جیحون,2750000000.0,2,45,1383,1,0,1,0,61,61111111.11,21,Low,<50,45,0,4,0,1,1
باغ فیض,11200000000.0,4,100,1396,2,1,1,1,35,112000000.0,8,Medium,50-100,200,1,3,2,2,2
اقدسیه,62500000000.0,2,250,1390,3,1,1,1,18,250000000.0,14,Luxury,200+,750,0,2,1,3,5
گیشا (کوی نصر),12700000000.0,4,72,1393,2,1,1,1,234,176388888.9,11,Luxury,50-100,144,1,3,1,3,2
سلسبیل,7200000000.0,4,92,1403,2,1,1,1,117,78260869.57,1,Medium,50-100,184,1,3,2,2,2
اقدسیه,23000000000.0,2,170,1383,3,1,1,1,18,135294117.6,21,Medium,150-200,510,0,1,2,2,4
تهران‌سر,1200000000.0,2,50,1398,1,1,1,1,47,24000000.0,6,Low,<50,50,0,4,0,1,1
گیشا (کوی نصر),16900000000.0,4,96,1403,4,1,1,1,234,176041666.7,1,Luxury,50-100,384,1,3,1,3,2
هروی,11200000000.0,1,70,1397,1,1,1,1,204,160000000.0,7,Luxury,50-100,70,0,3,1,3,2
نیاوران,23000000000.0,1,175,1380,3,0,1,1,200,131428571.4,24,Medium,150-200,525,0,1,2,2,4
افسریه,9700000000.0,4,143,1402,3,1,1,1,17,67832167.83,2,Medium,100-150,429,1,0,2,2,3
چیتگر,650000000.0,5,50,1403,1,1,1,1,220,13000000.0,1,Low,<50,50,1,4,0,1,1
شهرک غرب,46000000000.0,9,180,1403,3,1,1,1,147,255555555.6,1,Luxury,150-200,540,1,1,1,3,4
جی,3400000000.0,1,51,1390,1,0,1,1,60,66666666.67,14,Medium,50-100,51,0,3,2,2,2
دریاچه شهدای خلیج فارس,5100000000.0,21,100,1403,2,1,1,1,93,51000000.0,1,Low,50-100,200,1,3,0,1,2
مرزداران,9800000000.0,5,70,1388,2,1,1,1,185,140000000.0,16,Medium,50-100,140,1,3,2,2,2
جنت‌آباد جنوبی,12220000000.0,3,95,1398,2,1,1,1,55,128631578.9,6,Medium,50-100,190,0,3,2,2,2
شکوفه,3600000000.0,4,60,1385,1,0,1,0,157,60000000.0,19,Low,50-100,60,0,3,0,1,2
مرزداران,15700000000.0,3,90,1403,2,1,1,0,185,174444444.4,1,Luxury,50-100,180,0,3,1,3,2
پلیس,12000000000.0,2,140,-1,2,0,1,1,216,85714285.71,1405,Medium,100-150,280,0,0,2,2,3
تهرانپارس غربی,13800000000.0,3,93,1403,2,1,1,1,46,148387096.8,1,Medium,50-100,186,0,3,2,2,2
دروس,35000000000.0,4,190,1385,3,1,1,1,90,184210526.3,19,Luxury,150-200,570,1,1,1,3,4
شهرک شریعتی,8200000000.0,2,122,1390,3,1,1,1,143,67213114.75,14,Medium,100-150,366,0,0,2,2,3
یوسف‌آباد,21300000000.0,5,124,1385,3,1,1,1,236,171774193.5,19,Luxury,100-150,372,1,0,1,3,3
دروس,36000000000.0,4,190,1385,3,1,1,1,90,189473684.2,19,Luxury,150-200,570,1,1,1,3,4
ظفر,16300000000.0,5,95,1393,2,1,1,1,166,171578947.4,11,Luxury,50-100,190,1,3,1,3,2
جنت‌آباد مرکزی,15500000000.0,10,86,1400,2,1,1,1,57,180232558.1,4,Luxury,50-100,172,1,3,1,3,2
سلسبیل,3300000000.0,1,39,1393,1,1,1,1,117,84615384.62,11,Medium,<50,39,0,4,2,2,1
دروس,50000000000.0,6,312,1386,4,1,1,1,90,160256410.3,18,Luxury,200+,1248,1,2,1,3,5
زنجان,2250000000.0,3,40,1381,1,0,1,1,105,56250000.0,23,Low,<50,40,0,4,0,1,1
اوقاف,6200000000.0,1,77,1390,2,1,1,1,28,80519480.52,14,Medium,50-100,154,0,3,2,2,2
پاسداران,26000000000.0,2,175,1395,3,1,1,1,213,148571428.6,9,Medium,150-200,525,0,1,2,2,4
بریانک,4000000000.0,1,60,1386,2,0,1,1,36,66666666.67,18,Medium,50-100,120,0,3,2,2,2
شهران جنوبی,6800000000.0,3,57,1402,1,1,1,1,136,119298245.6,2,Medium,50-100,57,0,3,2,2,2
دکتر هوشیار,10490000000.0,5,121,1393,3,1,1,1,98,86694214.88,11,Medium,100-150,363,1,0,2,2,3
تهران‌سر,4790000000.0,10,123,1403,3,1,1,1,47,38943089.43,1,Low,100-150,369,1,0,0,1,3
زعفرانیه,65000000000.0,4,185,1396,3,1,1,1,103,351351351.4,8,Luxury,150-200,555,1,1,1,3,4
حشمتیه,10200000000.0,1,102,1403,2,1,1,0,63,100000000.0,1,Medium,100-150,204,0,0,2,2,3
زنجان,6950000000.0,4,80,1401,2,1,1,1,105,86875000.0,3,Medium,50-100,160,1,3,2,2,2
وردآورد,2390000000.0,16,92,1403,2,1,1,1,209,25978260.87,1,Low,50-100,184,1,3,0,1,2
دکتر هوشیار,7600000000.0,1,79,1388,2,0,1,1,98,96202531.65,16,Medium,50-100,158,0,3,2,2,2
چیتگر,2240000000.0,6,80,1403,2,1,1,1,220,28000000.0,1,Low,50-100,160,1,3,0,1,2
سلسبیل,3600000000.0,2,44,1395,1,1,1,1,117,81818181.82,9,Medium,<50,44,0,4,2,2,1
بریانک,7800000000.0,5,109,1403,2,1,1,1,36,71559633.03,1,Medium,100-150,218,1,0,2,2,3
آذربایجان,4300000000.0,1,57,1387,1,0,1,1,3,75438596.49,17,Medium,50-100,57,0,3,2,2,2
بلورسازی,2850000000.0,2,48,1396,1,1,1,1,38,59375000.0,8,Low,<50,48,0,4,0,1,1
سلسبیل,3650000000.0,1,44,1403,1,1,1,0,117,82954545.45,1,Medium,<50,44,0,4,2,2,1
شهر زیبا,1900000000.0,3,72,1395,2,1,1,1,134,26388888.89,9,Low,50-100,144,0,3,0,1,2
جی,2400000000.0,3,44,1391,1,0,1,1,60,54545454.55,13,Low,<50,44,0,4,0,1,1
سعادت‌آباد,25000000000.0,2,133,1384,3,1,1,1,114,187969924.8,20,Luxury,100-150,399,0,0,1,3,3
اکباتان,6000000000.0,2,50,1386,1,1,1,1,29,120000000.0,18,Medium,<50,50,0,4,2,2,1
جردن,24000000000.0,3,120,1400,2,1,1,1,51,200000000.0,4,Luxury,100-150,240,0,0,1,3,3
زنجان,9200000000.0,3,122,1404,3,1,1,1,105,75409836.07,0,Medium,100-150,366,0,0,2,2,3
حکیمیه,11500000000.0,1,113,1403,2,1,1,1,66,101769911.5,1,Medium,100-150,226,0,0,2,2,3
مجیدآباد,5700000000.0,3,79,1378,2,0,1,0,181,72151898.73,26,Medium,50-100,158,0,3,2,2,2
پاسداران,59000000000.0,2,220,1403,3,1,1,1,213,268181818.2,1,Luxury,200+,660,0,2,1,3,5
شهرک امید,21000000000.0,9,155,1395,3,1,1,1,140,135483871.0,9,Medium,150-200,465,1,1,2,2,4
اباذر,8700000000.0,2,80,1385,2,1,1,1,8,108750000.0,19,Medium,50-100,160,0,3,2,2,2
جنت‌آباد جنوبی,2480000000.0,5,80,1403,2,1,1,1,55,31000000.0,1,Low,50-100,160,1,3,0,1,2
پاسداران,24200000000.0,2,125,1394,3,1,1,1,213,193600000.0,10,Luxury,100-150,375,0,0,1,3,3
سازمان برنامه,7500000000.0,2,72,1385,2,1,1,1,109,104166666.7,19,Medium,50-100,144,0,3,2,2,2
ولنجک,105000000000.0,2,220,1403,3,1,1,1,210,477272727.3,1,Luxury,200+,660,0,2,1,3,5
استخر,9100000000.0,13,97,1400,2,1,1,1,15,93814432.99,4,Medium,50-100,194,1,3,2,2,2
استاد معین,6250000000.0,1,93,1397,2,1,1,1,14,67204301.08,7,Medium,50-100,186,0,3,2,2,2
استاد معین,1600000000.0,2,62,1397,2,1,1,1,14,25806451.61,7,Low,50-100,124,0,3,0,1,2
سرو آزاد,4658000000.0,28,137,1403,3,1,1,1,113,34000000.0,1,Low,100-150,411,1,0,0,1,3
سازمان برنامه,20500000000.0,3,140,1396,3,1,1,1,109,146428571.4,8,Medium,100-150,420,0,0,2,2,3
سازمان برنامه,19800000000.0,5,120,1403,3,1,1,1,109,165000000.0,1,Luxury,100-150,360,1,0,1,3,3
کاظم‌آباد,9600000000.0,3,80,1398,2,1,1,1,222,120000000.0,6,Medium,50-100,160,0,3,2,2,2
سلسبیل,4500000000.0,3,60,1380,1,0,1,1,117,75000000.0,24,Medium,50-100,60,0,3,2,2,2
جیحون,2750000000.0,3,48,1384,1,0,1,1,61,57291666.67,20,Low,<50,48,0,4,0,1,1
پونک,16450000000.0,3,121,1392,3,1,1,1,217,135950413.2,12,Medium,100-150,363,0,0,2,2,3
شهران شمالی,7650000000.0,1,95,1394,2,1,1,1,137,80526315.79,10,Medium,50-100,190,0,3,2,2,2
جنت‌آباد جنوبی,14000000000.0,3,90,1403,2,1,1,1,55,155555555.6,1,Luxury,50-100,180,0,3,1,3,2
سلسبیل,4400000000.0,1,70,1387,2,0,1,1,117,62857142.86,17,Medium,50-100,140,0,3,2,2,2
شهرک پاسداران,3550000000.0,1,75,1390,2,0,1,1,150,47333333.33,14,Low,50-100,150,0,3,0,1,2
یوسف‌آباد,28555000000.0,2,145,1402,3,1,1,1,236,196931034.5,2,Luxury,100-150,435,0,0,1,3,3
پونک,13000000000.0,2,85,1399,2,1,1,1,217,152941176.5,5,Luxury,50-100,170,0,3,1,3,2
شهران شمالی,9000000000.0,1,96,1383,2,1,1,1,137,93750000.0,21,Medium,50-100,192,0,3,2,2,2
هروی,21400000000.0,3,160,1386,3,1,1,1,204,133750000.0,18,Medium,150-200,480,0,1,2,2,4
جنت‌آباد مرکزی,7250000000.0,2,70,1388,2,1,1,1,57,103571428.6,16,Medium,50-100,140,0,3,2,2,2
کوهک,3658000000.0,4,118,1403,2,1,1,1,227,31000000.0,1,Low,100-150,236,1,0,0,1,3
شهر زیبا,3750000000.0,4,88,1403,2,1,1,1,134,42613636.36,1,Low,50-100,176,1,3,0,1,2
اقدسیه,18600000000.0,5,135,1387,2,1,1,1,18,137777777.8,17,Medium,100-150,270,1,0,2,2,3
دارآباد,23000000000.0,6,155,1403,3,1,1,1,83,148387096.8,1,Medium,150-200,465,1,1,2,2,4
نارمک جنوبی,6550000000.0,3,75,1389,2,1,1,1,196,87333333.33,15,Medium,50-100,150,0,3,2,2,2
شهر زیبا,2200000000.0,1,58,1390,1,0,1,1,134,37931034.48,14,Low,50-100,58,0,3,0,1,2
هروی,28000000000.0,3,173,1395,3,1,1,1,204,161849711.0,9,Luxury,150-200,519,0,1,1,3,4
سهروردی,6365000000.0,0,67,1384,2,1,1,0,120,95000000.0,20,Medium,50-100,134,0,3,2,2,2
کاظم‌آباد,7200000000.0,1,84,1376,2,0,1,1,222,85714285.71,28,Medium,50-100,168,0,3,2,2,2
دردشت,14800000000.0,1,148,1401,3,1,1,1,88,100000000.0,3,Medium,100-150,444,0,0,2,2,3
قیطریه,14400000000.0,4,75,1397,2,1,1,1,177,192000000.0,7,Luxury,50-100,150,1,3,1,3,2
تهران‌سر,1560000000.0,2,45,1397,1,1,1,1,47,34666666.67,7,Low,<50,45,0,4,0,1,1
گلچین,2340000000.0,2,46,1389,1,0,1,1,232,50869565.22,15,Low,<50,46,0,4,0,1,1
شهر زیبا,2250000000.0,1,70,1402,2,0,1,1,134,32142857.14,2,Low,50-100,140,0,3,0,1,2
امیرآباد,14000000000.0,2,90,1403,2,1,1,1,26,155555555.6,1,Luxury,50-100,180,0,3,1,3,2
مبارک‌آباد بهشتی,2000000000.0,3,66,1399,2,1,1,1,180,30303030.3,5,Low,50-100,132,0,3,0,1,2
استاد معین,5150000000.0,2,70,1385,1,1,1,1,14,73571428.57,19,Medium,50-100,70,0,3,2,2,2
فلاح,3150000000.0,1,75,1393,2,0,1,1,173,42000000.0,11,Low,50-100,150,0,3,0,1,2
کوی مهران,16500000000.0,2,115,1393,2,1,1,1,230,143478260.9,11,Medium,100-150,230,0,0,2,2,3
سلسبیل,4850000000.0,0,55,1388,1,1,1,1,117,88181818.18,16,Medium,50-100,55,0,3,2,2,2
شمس‌آباد,5500000000.0,4,40,1403,1,1,1,0,132,137500000.0,1,Medium,<50,40,1,4,2,2,1
خانی‌آباد نو,4000000000.0,0,70,1380,2,0,1,0,79,57142857.14,24,Low,50-100,140,0,3,0,1,2
سلیمانی,2800000000.0,4,53,1395,1,1,1,1,118,52830188.68,9,Low,50-100,53,1,3,0,1,2
هروی,27900000000.0,5,165,1403,3,1,1,1,204,169090909.1,1,Luxury,150-200,495,1,1,1,3,4
باغ فیض,6500000000.0,3,55,1392,1,1,1,1,35,118181818.2,12,Medium,50-100,55,0,3,2,2,2
سلیمانی,3250000000.0,0,51,1376,1,0,1,1,118,63725490.2,28,Medium,50-100,51,0,3,2,2,2
بریانک,2420000000.0,2,45,1385,1,0,1,1,36,53777777.78,19,Low,<50,45,0,4,0,1,1
پونک,18200000000.0,4,104,1403,2,1,1,1,217,175000000.0,1,Luxury,100-150,208,1,0,1,3,3
استاد معین,7900000000.0,5,116,1403,3,1,1,1,14,68103448.28,1,Medium,100-150,348,1,0,2,2,3
کرمان,5350000000.0,1,58,1383,1,0,1,1,224,92241379.31,21,Medium,50-100,58,0,3,2,2,2
یوسف‌آباد,13500000000.0,1,85,1394,2,1,1,1,236,158823529.4,10,Luxury,50-100,170,0,3,1,3,2
فاطمی,13200000000.0,2,90,1400,2,1,1,1,169,146666666.7,4,Medium,50-100,180,0,3,2,2,2
نارمک جنوبی,14950000000.0,4,150,1399,3,1,1,1,196,99666666.67,5,Medium,100-150,450,1,0,2,2,3
تهران‌سر,7500000000.0,1,105,1395,2,1,1,1,47,71428571.43,9,Medium,100-150,210,0,0,2,2,3
قیطریه,12000000000.0,3,65,1395,1,1,1,1,177,184615384.6,9,Luxury,50-100,65,0,3,1,3,2
چیتگر,1200000000.0,4,100,1403,2,1,1,1,220,12000000.0,1,Low,50-100,200,1,3,0,1,2
بلورسازی,3100000000.0,0,55,1385,1,0,1,1,38,56363636.36,19,Low,50-100,55,0,3,0,1,2
الهیه,850000000000.0,7,300,1394,3,1,1,1,20,2833333333.0,10,Luxury,200+,900,1,2,1,3,5
استاد معین,7200000000.0,4,68,1404,1,1,1,1,14,105882352.9,0,Medium,50-100,68,1,3,2,2,2
ازگل,11500000000.0,2,96,1386,2,1,1,1,13,119791666.7,18,Medium,50-100,192,0,3,2,2,2
سلسبیل,3500000000.0,2,53,1390,1,0,1,1,117,66037735.85,14,Medium,50-100,53,0,3,2,2,2
سلیمانی,2650000000.0,2,44,1391,1,1,1,1,118,60227272.73,13,Low,<50,44,0,4,0,1,1
زنجان,2490000000.0,3,44,1385,1,0,1,1,105,56590909.09,19,Low,<50,44,0,4,0,1,1
شهر‌زیبا,2000000000.0,2,70,1400,2,1,1,1,154,28571428.57,4,Low,50-100,140,0,3,0,1,2
دریاچه شهدای خلیج فارس,9600000000.0,11,110,1395,2,1,1,1,93,87272727.27,9,Medium,100-150,220,1,0,2,2,3
پونک,9500000000.0,1,98,1395,2,1,1,1,217,96938775.51,9,Medium,50-100,196,0,3,2,2,2
کوهک,11000000000.0,8,108,1403,2,1,1,1,227,101851851.9,1,Medium,100-150,216,1,0,2,2,3
سازمان برنامه,21900000000.0,4,142,1401,3,1,1,1,109,154225352.1,3,Luxury,100-150,426,1,0,1,3,3
قلهک,22000000000.0,5,115,1403,2,1,1,1,176,191304347.8,1,Luxury,100-150,230,1,0,1,3,3
ازگل,16500000000.0,5,108,1395,2,1,1,1,13,152777777.8,9,Luxury,100-150,216,1,0,1,3,3
استاد معین,7200000000.0,3,92,1400,2,1,1,1,14,78260869.57,4,Medium,50-100,184,0,3,2,2,2
ولنجک,55440000000.0,3,132,1403,2,1,1,1,210,420000000.0,1,Luxury,100-150,264,0,0,1,3,3
سازمان برنامه,13300000000.0,4,90,1398,2,1,1,1,109,147777777.8,6,Medium,50-100,180,1,3,2,2,2
هاشمی,2950000000.0,3,46,1390,1,0,1,1,203,64130434.78,14,Medium,<50,46,0,4,2,2,1
شهران جنوبی,11900000000.0,5,93,1395,2,1,1,1,136,127956989.2,9,Medium,50-100,186,1,3,2,2,2
دکتر هوشیار,10200000000.0,2,107,1403,2,1,1,1,98,95327102.8,1,Medium,100-150,214,0,0,2,2,3
جیحون,2880000000.0,4,66,1386,2,0,1,1,61,43636363.64,18,Low,50-100,132,0,3,0,1,2
تهرانپارس شرقی,3400000000.0,2,50,1386,1,0,1,1,45,68000000.0,18,Medium,<50,50,0,4,2,2,1
جنت‌آباد مرکزی,7400000000.0,4,69,1386,2,1,1,1,57,107246376.8,18,Medium,50-100,138,1,3,2,2,2
ولنجک,38000000000.0,2,175,1402,3,1,1,1,210,217142857.1,2,Luxury,150-200,525,0,1,1,3,4
نارمک,44000000000.0,2,200,1403,3,1,1,1,195,220000000.0,1,Luxury,150-200,600,0,1,1,3,4
بریانک,7500000000.0,3,110,1403,2,1,1,1,36,68181818.18,1,Medium,100-150,220,0,0,2,2,3
مرزداران,19800000000.0,5,124,1400,3,1,1,1,185,159677419.4,4,Luxury,100-150,372,1,0,1,3,3
تهرانپارس غربی,6550000000.0,2,72,1382,2,0,1,1,46,90972222.22,22,Medium,50-100,144,0,3,2,2,2
جیحون,3850000000.0,2,60,1391,2,0,1,1,61,64166666.67,13,Medium,50-100,120,0,3,2,2,2
گمرک,2100000000.0,2,43,1387,1,0,1,1,233,48837209.3,17,Low,<50,43,0,4,0,1,1
شهر زیبا,3900000000.0,4,90,1403,2,1,1,1,134,43333333.33,1,Low,50-100,180,1,3,0,1,2
سهروردی,7500000000.0,2,60,1386,1,1,1,1,120,125000000.0,18,Medium,50-100,60,0,3,2,2,2
تهرانپارس شرقی,15700000000.0,5,180,1397,3,1,1,1,45,87222222.22,7,Medium,150-200,540,1,1,2,2,4
شهر‌زیبا,1550000000.0,2,55,1400,1,1,1,1,154,28181818.18,4,Low,50-100,55,0,3,0,1,2
وردآورد,3250000000.0,1,55,1397,1,0,1,1,209,59090909.09,7,Low,50-100,55,0,3,0,1,2
گیشا (کوی نصر),22000000000.0,3,138,1388,3,1,1,1,234,159420289.9,16,Luxury,100-150,414,0,0,1,3,3
سنایی,21000000000.0,4,150,1398,3,1,1,1,119,140000000.0,6,Medium,100-150,450,1,0,2,2,3
تهرانپارس غربی,8600000000.0,3,100,1372,2,0,1,1,46,86000000.0,32,Medium,50-100,200,0,3,2,2,2
زعفرانیه,40000000000.0,1,185,1387,3,1,1,1,103,216216216.2,17,Luxury,150-200,555,0,1,1,3,4
کوی مهران,8800000000.0,1,70,1393,1,1,1,1,230,125714285.7,11,Medium,50-100,70,0,3,2,2,2
گیشا (کوی نصر),30000000000.0,4,150,1402,3,1,1,1,234,200000000.0,2,Luxury,100-150,450,1,0,1,3,3
سنایی,31900000000.0,5,190,1402,3,1,1,1,119,167894736.8,2,Luxury,150-200,570,1,1,1,3,4
نواب,2700000000.0,2,47,1396,1,1,1,1,199,57446808.51,8,Low,<50,47,0,4,0,1,1
پاسداران,19200000000.0,2,80,1404,2,1,1,1,213,240000000.0,0,Luxury,50-100,160,0,3,1,3,2
فلاح,1950000000.0,1,40,1387,1,0,1,0,173,48750000.0,17,Low,<50,40,0,4,0,1,1
آذربایجان,4250000000.0,1,52,1391,1,0,1,1,3,81730769.23,13,Medium,50-100,52,0,3,2,2,2
آذری,2550000000.0,0,48,1382,1,0,1,1,4,53125000.0,22,Low,<50,48,0,4,0,1,1
استاد معین,5250000000.0,3,75,1386,1,0,1,1,14,70000000.0,18,Medium,50-100,75,0,3,2,2,2
جنت‌آباد مرکزی,11500000000.0,3,100,1401,2,1,1,1,57,115000000.0,3,Medium,50-100,200,0,3,2,2,2
شهید دستغیب,8800000000.0,5,126,1403,2,1,1,1,155,69841269.84,1,Medium,100-150,252,1,0,2,2,3
قلهک,13700000000.0,5,93,1382,2,1,1,1,176,147311828.0,22,Medium,50-100,186,1,3,2,2,2
منیریه,8750000000.0,1,92,1396,2,1,1,1,188,95108695.65,8,Medium,50-100,184,0,3,2,2,2
کوهک,4700000000.0,11,92,1403,2,1,1,1,227,51086956.52,1,Low,50-100,184,1,3,0,1,2
مخصوص,7850000000.0,5,89,1401,2,1,1,1,183,88202247.19,3,Medium,50-100,178,1,3,2,2,2
اختیاریه,13200000000.0,2,89,1385,2,0,1,1,10,148314606.7,19,Medium,50-100,178,0,3,2,2,2
جمال‌زاده,7200000000.0,0,78,1384,2,0,1,1,53,92307692.31,20,Medium,50-100,156,0,3,2,2,2
پونک,11600000000.0,5,60,1397,1,1,1,1,217,193333333.3,7,Luxury,50-100,60,1,3,1,3,2
تهرانپارس غربی,15700000000.0,2,143,1388,3,1,1,1,46,109790209.8,16,Medium,100-150,429,0,0,2,2,3
چیتگر,1500000000.0,19,100,1403,3,1,1,1,220,15000000.0,1,Low,50-100,300,1,3,0,1,2
سعادت‌آباد,17400000000.0,3,80,1403,2,1,1,1,114,217500000.0,1,Luxury,50-100,160,0,3,1,3,2
شهر زیبا,2400000000.0,2,62,1397,2,1,1,1,134,38709677.42,7,Low,50-100,124,0,3,0,1,2
ایرانشهر,9390000000.0,6,83,1396,2,1,1,0,31,113132530.1,8,Medium,50-100,166,1,3,2,2,2
تهران‌سر,1250000000.0,1,50,1399,1,1,1,1,47,25000000.0,5,Low,<50,50,0,4,0,1,1
صادقیه,18100000000.0,3,140,1403,3,1,1,1,161,129285714.3,1,Medium,100-150,420,0,0,2,2,3
باغ فیض,7100000000.0,4,53,1383,1,1,1,1,35,133962264.2,21,Medium,50-100,53,1,3,2,2,2
طرشت,12870000000.0,4,110,1403,2,1,1,1,164,117000000.0,1,Medium,100-150,220,1,0,2,2,3
اختیاریه,14500000000.0,1,90,1388,2,1,1,1,10,161111111.1,16,Luxury,50-100,180,0,3,1,3,2
دکتر هوشیار,9100000000.0,1,115,1399,3,1,1,1,98,79130434.78,5,Medium,100-150,345,0,0,2,2,3
سنایی,19400000000.0,3,116,1403,3,1,1,1,119,167241379.3,1,Luxury,100-150,348,0,0,1,3,3
ظفر,15300000000.0,3,115,1383,2,1,1,1,166,133043478.3,21,Medium,100-150,230,0,0,2,2,3
سازمان برنامه,7900000000.0,5,85,1390,2,1,1,1,109,92941176.47,14,Medium,50-100,170,1,3,2,2,2
مخصوص,6800000000.0,1,80,1404,2,1,1,1,183,85000000.0,0,Medium,50-100,160,0,3,2,2,2
مدائن,12200000000.0,1,100,1403,3,1,1,1,184,122000000.0,1,Medium,50-100,300,0,3,2,2,2
سازمان برنامه,9500000000.0,0,103,1383,2,1,1,1,109,92233009.71,21,Medium,100-150,206,0,0,2,2,3
