address,price,floor,area,year_built,rooms,elevator,parking,warehouse,district_code,price_per_sqm,building_age,area_x_rooms,elevator_high_floor,area_level_num,area_bin_num
درب دوم,15500000000,3,115,1382,3,1,1,1,86,134782608.7,22,345,0,2,3
پاسداران,44400000000,3,170,1403,3,1,1,1,213,261176470.6,1,510,0,3,4
شهرآرا,6000000000,0,58,-1,2,0,1,1,135,103448275.9,1405,116,0,2,2
خاقانی,9100000000,2,72,1390,2,1,1,1,78,126388888.9,14,144,0,2,2
شهرآرا,7300000000,3,75,-1,2,0,1,1,135,97333333.33,1405,150,0,2,2
سهروردی,12300000000,6,72,1403,2,1,1,1,120,170833333.3,1,144,1,3,2
شهرک غرب,14050000000,2,96,1388,2,1,1,1,147,146354166.7,16,192,0,2,2
تجریش,14000000000,2,70,1396,2,1,1,0,43,200000000.0,8,140,0,3,2
شمس‌آباد,8500000000,5,100,1387,2,1,1,1,132,85000000.0,17,200,1,2,2
باغ فیض,6980000000,4,55,1390,1,1,1,1,35,126909090.9,14,55,1,2,2
شهرک نفت (منطقه ۵),5700000000,0,60,1383,1,0,1,0,148,95000000.0,21,60,0,2,2
تهران‌ویلا,17000000000,1,130,1396,3,1,1,1,49,130769230.8,8,390,0,2,3
سعادت‌آباد,31000000000,1,139,1397,3,1,1,1,114,223021582.7,7,417,0,3,3
نیلوفر,19000000000,4,115,1402,2,1,1,1,202,165217391.3,2,230,1,3,3
شادمهر,10000000000,5,80,1403,2,1,1,1,125,125000000.0,1,160,1,2,2
پاتریس لومومبا,17000000000,2,121,1396,2,1,1,1,212,140495867.8,8,242,0,2,3
جیحون,3100000000,2,43,1384,1,0,1,1,61,72093023.26,20,43,0,2,1
پونک,13500000000,1,78,1401,2,1,1,1,217,173076923.1,3,156,0,3,2
جیحون,4350000000,2,53,1393,1,1,1,1,61,82075471.7,11,53,0,2,2
امامزاده قاسم,28000000000,2,165,1390,3,0,1,1,23,169696969.7,14,495,0,3,4
آذربایجان,12000000000,4,112,1403,3,1,1,1,3,107142857.1,1,336,1,2,3
دریاچه شهدای خلیج فارس,8100000000,6,110,1397,2,1,1,1,93,73636363.64,7,220,1,2,3
شهرک راه‌آهن,16350000000,1,145,1403,3,1,1,1,142,112758620.7,1,435,0,2,3
سازمان برنامه,5900000000,1,59,1380,2,0,1,1,109,100000000.0,24,118,0,2,2
آذربایجان,7100000000,3,64,1402,1,1,1,1,3,110937500.0,2,64,0,2,2
سلسبیل,4400000000,4,47,1403,1,1,1,1,117,93617021.28,1,47,1,2,1
پونک,7350000000,1,50,1390,1,1,1,1,217,147000000.0,14,50,0,2,1
جنت‌آباد جنوبی,15500000000,4,95,1403,2,1,1,1,55,163157894.7,1,190,1,3,2
جنت‌آباد مرکزی,13100000000,3,116,1403,2,1,1,1,57,112931034.5,1,232,0,2,3
آجودانیه,33000000000,5,190,1387,3,1,1,1,2,173684210.5,17,570,1,3,4
پاسداران,22600000000,2,138,1385,3,1,1,1,213,163768115.9,19,414,0,3,3
اباذر,12800000000,3,105,1395,2,1,1,1,8,121904761.9,9,210,0,2,3
مدائن,9000000000,2,83,1382,2,1,1,1,184,108433734.9,22,166,0,2,2
هاشمی,3000000000,4,40,1390,1,1,1,0,203,75000000.0,14,40,1,2,1
دردشت,9000000000,3,73,1390,1,1,1,1,88,123287671.2,14,73,0,2,2
دزاشیب,42500000000,3,235,1385,4,1,1,1,94,180851063.8,19,940,0,3,5
پونک,5200000000,3,55,1387,1,0,1,1,217,94545454.55,17,55,0,2,2
دهکده المپیک,5850000000,3,63,1381,1,0,1,1,95,92857142.86,23,63,0,2,2
شریف,9900000000,4,140,1403,3,1,1,1,131,70714285.71,1,420,1,2,3
پاسداران,24000000000,3,110,1403,2,1,1,1,213,218181818.2,1,220,0,3,3
اختیاریه,23500000000,3,122,1396,2,1,1,1,10,192622950.8,8,244,0,3,3
قلهک,18000000000,3,90,1403,2,1,1,1,176,200000000.0,1,180,0,3,2
جنت‌آباد جنوبی,17200000000,4,137,1393,3,1,1,1,55,125547445.3,11,411,1,2,3
نیلوفر,12200000000,1,95,1389,2,1,1,1,202,128421052.6,15,190,0,2,2
نازی‌آباد,4000000000,2,50,1402,1,1,1,0,197,80000000.0,2,50,0,2,1
مدائن,14000000000,4,133,1387,3,1,1,1,184,105263157.9,17,399,1,2,3
